,location,out,player,position,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_one_on_one,shot_open_goal,shot_outcome,shot_technique,shot_type,under_pressure,shot_saved_to_post,shot_saved_off_target,xG
3169,"[106.4, 57.4]",,Gonzalo Gerardo Higuaín,Right Center Forward,,Right Foot,,"[113.0, 45.2]",,,,Blocked,Normal,Open Play,,,,0.0012443988
3170,"[114.9, 46.7]",,Marek Hamšík,Left Center Midfield,,Right Foot,,"[120.0, 40.5, 0.2]",True,,,Goal,Half Volley,Open Play,True,,,0.9867039
3171,"[104.7, 49.4]",,Lorenzo Insigne,Center Attacking Midfield,,Right Foot,,"[109.1, 45.0]",True,,,Wayward,Volley,Open Play,,,,0.0008347573
3172,"[116.3, 44.9]",,Gonzalo Gerardo Higuaín,Right Center Forward,,Right Foot,,"[118.0, 43.5, 0.5]",True,,,Saved,Half Volley,Open Play,True,,,0.0048588375
3178,"[102.7, 61.1]",True,Lorenzo Insigne,Center Attacking Midfield,,Right Foot,,"[120.0, 18.4]",True,,,Wayward,Half Volley,Open Play,,,,0.002779607
3183,"[94.7, 37.4]",,Lorenzo Insigne,Center Attacking Midfield,,Right Foot,,"[97.8, 37.7]",True,,,Blocked,Normal,Open Play,,,,0.0021774627
3185,"[94.1, 28.4]",,Mirko Valdifiori,Center Defensive Midfield,,Right Foot,True,"[118.2, 37.5, 0.9]",True,,,Saved,Normal,Open Play,,,,0.0025758506
3188,"[94.9, 49.0]",,Dries Mertens,Left Center Forward,,Right Foot,,"[120.0, 35.1, 2.8]",,,,Off T,Normal,Free Kick,,,,0.002919165
3193,"[105.6, 49.1]",,Dries Mertens,Left Center Forward,,Left Foot,,"[120.0, 45.9, 0.2]",,,,Off T,Normal,Open Play,True,,,0.003330522
3194,"[97.8, 23.2]",,Dries Mertens,Left Center Forward,,Right Foot,,"[120.0, 35.2, 3.7]",,,,Off T,Normal,Free Kick,,,,0.0022374878
3195,"[100.9, 53.7]",,Manolo Gabbiadini,Right Center Forward,,Left Foot,,"[102.2, 52.8]",True,,,Blocked,Normal,Open Play,True,,,0.0007583444
3196,"[102.1, 29.5]",,Dries Mertens,Left Center Forward,,Right Foot,,"[120.0, 35.1, 0.2]",,,,Off T,Normal,Open Play,True,,,0.002309939
3197,"[102.7, 25.1]",,Marek Hamšík,Left Center Midfield,,Left Foot,True,"[118.1, 36.4, 0.2]",,,,Saved,Normal,Open Play,,,,0.00092277036
3199,"[111.0, 52.3]",True,José María Callejón Bueno,Left Center Forward,,Right Foot,,"[111.3, 0.1]",True,,,Wayward,Volley,Open Play,True,,,0.003310844
3200,"[104.0, 57.1]",,José María Callejón Bueno,Left Center Forward,,Right Foot,,"[120.0, 34.3, 0.2]",True,,,Off T,Half Volley,Open Play,,,,0.002838698
7518,"[98.6, 17.5]",,Lorenzo Insigne,Center Attacking Midfield,,Right Foot,,"[120.0, 36.4, 3.9]",,,,Off T,Normal,Open Play,,,,0.0034790142
7520,"[113.2, 34.3]",,Gonzalo Gerardo Higuaín,Left Center Forward,,Left Foot,,"[120.0, 42.4, 0.4]",True,,,Goal,Lob,Open Play,,,,0.99288964
7521,"[96.3, 26.0]",,Lorenzo Insigne,Center Attacking Midfield,,Right Foot,,"[120.0, 44.0, 1.1]",,,,Post,Normal,Open Play,,,,0.045398835
7523,"[95.4, 35.1]",,Gonzalo Gerardo Higuaín,Left Center Forward,,Left Foot,,"[120.0, 33.0, 5.6]",,,,Off T,Normal,Open Play,,,,0.0018912372
7525,"[108.9, 52.6]",,Gonzalo Gerardo Higuaín,Left Center Forward,,Right Foot,,"[109.8, 51.7]",True,,,Blocked,Normal,Open Play,True,,,0.0025059555
7526,"[116.0, 31.9]",,Gonzalo Gerardo Higuaín,Left Center Forward,,Left Foot,,"[120.0, 34.5, 0.5]",True,,,Off T,Half Volley,Open Play,,,,0.0075269807
7527,"[98.0, 72.9]",,Lorenzo Insigne,Center Attacking Midfield,,Right Foot,,"[120.0, 41.9, 4.1]",,,,Off T,Normal,Open Play,,,,0.004881603
7528,"[109.2, 26.7]",,Lorenzo Insigne,Center Attacking Midfield,,Left Foot,,"[120.0, 45.4, 1.4]",,,,Off T,Normal,Open Play,,,,0.018407367
7529,"[101.2, 22.6]",,Lorenzo Insigne,Center Attacking Midfield,,Right Foot,,"[104.4, 25.8]",,,,Blocked,Normal,Open Play,,,,0.0010007342
7532,"[110.4, 50.6]",,Gonzalo Gerardo Higuaín,Left Center Forward,,Right Foot,,"[120.0, 37.4, 0.3]",True,,,Goal,Half Volley,Open Play,,,,0.9888043
7533,"[90.3, 39.5]",,Lorenzo Insigne,Center Attacking Midfield,,Right Foot,,"[120.0, 33.0, 0.4]",,,,Off T,Normal,Open Play,,,,0.0049649864
7534,"[111.9, 42.6]",,Kalidou Koulibaly,Left Center Back,True,Head,,"[119.4, 38.9, 2.4]",,,,Saved,Normal,Open Play,True,,,0.003190502
7535,"[100.2, 38.8]",,Lorenzo Insigne,Center Attacking Midfield,,Left Foot,,"[102.6, 39.2]",,,,Blocked,Normal,Open Play,,,,0.0016780762
7536,"[105.1, 32.0]",,Lorenzo Insigne,Center Attacking Midfield,,Left Foot,,"[117.0, 39.0, 0.2]",,,,Saved,Normal,Open Play,,,,0.0012239092
7537,"[96.1, 56.9]",,Allan Marques Loureiro,Right Center Midfield,,Right Foot,,"[120.0, 31.3, 0.4]",,,,Off T,Normal,Open Play,,,,0.0049872743
7538,"[111.5, 55.7]",,Gonzalo Gerardo Higuaín,Left Center Forward,,Right Foot,,"[111.8, 55.1]",,,,Blocked,Normal,Open Play,True,,,0.0035836382
7541,"[97.0, 41.2]",,David López Silva,Right Center Midfield,,Right Foot,,"[116.4, 40.0, 0.2]",,,,Saved,Normal,Open Play,,,,0.0026438434
7543,"[89.6, 37.4]",,Lorenzo Insigne,Center Attacking Midfield,,Right Foot,,"[92.1, 37.4]",,,,Blocked,Normal,Open Play,True,,,0.0027385158
7544,"[105.1, 42.8]",,Gonzalo Gerardo Higuaín,Left Center Forward,,Head,,"[120.0, 25.9, 0.6]",,,,Off T,Normal,Open Play,,,,0.0028476692
7545,"[107.9, 41.0]",,Gonzalo Gerardo Higuaín,Left Center Forward,,Right Foot,,"[110.3, 40.3]",True,,,Blocked,Volley,Open Play,,,,0.0020662232
7546,"[98.9, 42.5]",,David López Silva,Right Center Midfield,,Right Foot,,"[120.0, 32.8, 4.2]",,,,Off T,Normal,Open Play,,,,0.0027160882
7547,"[99.2, 28.9]",,Marek Hamšík,Left Center Midfield,,Right Foot,,"[100.1, 29.3]",True,,,Blocked,Normal,Open Play,,,,0.0015093468
7548,"[108.0, 31.3]",,Lorenzo Insigne,Center Attacking Midfield,,Right Foot,,"[120.0, 45.0, 2.4]",True,,,Off T,Normal,Open Play,True,,,0.013981443
7549,"[108.1, 36.7]",,Raúl Albiol i Tortajada,Right Center Back,,Head,,"[118.3, 42.3, 1.3]",,,,Saved,Normal,Open Play,,,,0.0041393857
7552,"[107.6, 22.5]",,Lorenzo Insigne,Center Attacking Midfield,,Left Foot,,"[120.0, 36.2, 4.5]",,,,Off T,Normal,Open Play,,,,0.0015967808
7553,"[101.1, 24.5]",,Lorenzo Insigne,Center Attacking Midfield,,Right Foot,,"[117.9, 38.6, 1.7]",,,,Saved,Normal,Open Play,True,,,0.0011796874
7554,"[98.2, 44.3]",,David López Silva,Right Center Midfield,,Right Foot,,"[105.2, 41.7]",True,,,Blocked,Normal,Open Play,True,,,0.0024455832
11250,"[96.8, 50.2]",,Lorenzo Insigne,Center Attacking Midfield,,Right Foot,,"[120.0, 37.3, 1.4]",True,,,Goal,Normal,Open Play,,,,0.9466059
11252,"[95.2, 33.7]",,Gonzalo Gerardo Higuaín,Left Center Forward,,Right Foot,,"[120.0, 60.1, 4.2]",True,,,Off T,Normal,Open Play,True,,,0.0019653002
11256,"[97.3, 23.4]",,Marek Hamšík,Left Center Midfield,,Right Foot,,"[99.4, 24.8]",,,,Blocked,Normal,Open Play,,,,0.0015936808
11259,"[113.1, 27.7]",,Lorenzo Insigne,Center Attacking Midfield,,Left Foot,,"[114.2, 29.6]",,True,,Blocked,Normal,Open Play,,,,0.0031801306
11260,"[116.2, 28.8]",,Lorenzo Insigne,Center Attacking Midfield,,Right Foot,,"[119.1, 35.6, 0.4]",,,,Saved,Half Volley,Open Play,,,,0.004191415
11261,"[89.7, 45.8]",,Christian Maggio,Right Back,,Right Foot,,"[120.0, 52.1, 1.4]",True,,,Off T,Normal,Open Play,,,,0.0014824605
